Symbol,ad
IDGYO,İdealist Gayrimenkul Yatırım Ortaklığı A.Ş.
IEYHO,Işıklar Enerji Ve Yapı Holding Anonim Şirketi
IHAAS,İHLAS HABER AJANSI
IHEVA,İhlas Ev Aletleri İmalat Sanayi Ve Ticaret A.Ş.
IHGZT,İhlas Gazetecilik A.Ş.
IHLAS,İhlas Holding A.Ş.
IHLGM,İhlas Gayrimenkul Proje Geliştirme ve Ticaret A.Ş.
IHYAY,İhlas Yayın Holding A.Ş.
IMASM,İMAŞ MAKİNE
INDES,Indeks Bilgisayar Sistemleri Mühendislik San. Ve T
INFO,İnfo Yatırım Menkul Değerler A.Ş.
INTEM,İntema İnşaat Ve Tesisat Malz.Yat.Ve Paz.A.Ş.
INVEO,INVEO YATIRIM HOLDİNG A.Ş.
INVES,INVESTCO HOLDİNG
IPEKE,İpek Doğal Enerji Kaynakları Araştırma ve Üretim A
ISATR,Türkiye İş Bankası A.Ş.
ISBIR,İşbir Holding A.Ş.
ISBTR,Türkiye İş Bankası A.Ş.
ISCTR,Türkiye İş Bankası A.Ş.
ISDMR,İskenderun Demir ve Çelik A.Ş.
ISFIN,İş Finansal Kiralama A.Ş.
ISGSY,İş Girişim Sermayesi Yatırım Ortaklığı A.Ş.
ISGYO,İş Gayrimenkul Yatırım Ortaklığı A.Ş.
ISKPL,ISIKLAR PLASTIK
ISKUR,Türkiye İş Bankası A.Ş.
ISMEN,İş Yatırım Menkul Değerler A.Ş.
ISSEN,İŞBİR DOKUMA
ISYAT,İş Yatırım Ortaklığı A.Ş.
ITTFH,İttifak Holding A.Ş.
IZFAS,İzmir Fırça San. Ve Tic. A.Ş.
IZINV,IZ YATIRIM HOLDING
IZMDC,İzmir Demir Çelik Sanayi A.Ş.
JANTS,Jantsa Jant Sanayi ve Ticaret A.Ş.
KAPLM,Kaplamın Ambalaj Sanayi Ve Ticaret A.Ş.
KAREL,Karel Elektronik Sanayi ve Ticaret A.Ş.
KARSN,Karsan Otomotiv Sanayii Ve Ticaret A.Ş.
KARTN,Kartonsan Karton Sanayı Ve Ticaret A.Ş.
KARYE,KARTAL ENERJİ
KATMR,Katmerciler Araç Üstü Ekipman Sanayi ve Ticaret A.
KCAER,KOCAER ÇELİK
KCHOL,Koç Holding A.Ş.
KENT,Kent Gıda Maddelerı Sanayii Ve Ticaret A.Ş.
KERVN,Kervansaray Yatırım Holding A.Ş.
KERVT,Kerevitaş Gıda Sanayi Ve Ticaret A.Ş.
KFEIN,KAFEIN YAZILIM C
KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş
KIMMR,ERSAN GIDA
KLGYO,Kiler Gayrimenkul Yatırım Ortaklığı A.Ş.
KLKIM,KALEKİM TİC. A.Ş.
KLMSN,Klimasan Klima Sanayi Ve Ticaret A.Ş.
KLNMA,T.Kalkınma Bankası A.Ş.
KLRHO,KİLER HOLDİNG
KLSYN,KOLEKSİYON MOBİLYA
KMPUR,KİMTEKS POLİÜRETAN
KNFRT,Konfrut Gıda Sanayi Ve Ticaret A.Ş.
KONKA,KONYA KAĞIT
KONTR,KONTROLMATİK  TEKNOLOJİ
KONYA,Konya Çimento Sanayii A.Ş.
KORDS,Kordsa Global Endüstriyel İplik ve Kord Bezi San. 
KOZAA,Koza Anadolu Metal Madencilik İşletmeleri A.Ş.
KOZAL,Koza Altın İşletmeleri A.Ş.
KRDMA,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş
KRDMB,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş
KRDMD,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş
KRGYO,Körfez Gayrimenkul Yatırım Ortaklığı  A.Ş.
KRONT,Kron Telekomünikasyon Hizmetleri A.Ş.
KRPLS,KOROPLAST
KRSTL,Krıstal Kola Ve Meşrubat Sanayi Ticaret A.Ş.
